millis,type,message
3300204,INFO,powerData | BQ status reg: 172
3300222,INFO,powerData | Fault reg: 0
3300243,INFO,powerData | Charge status: 2
3300261,INFO,powerData | DPM status: 1
3341355,INFO,Starting analysis m: 0 t: 0 e: 60
3341635,WARN,Disabling IridiumMessageSender transmissions
3342888,INFO,Completed analysis m: 0 t: 0 e: 60
3342913,INFO,Enabling IridiumMessageSender transmissions
3392573,INFO,Starting analysis m: 0 t: 0 e: 61
3392856,WARN,Disabling IridiumMessageSender transmissions
3394154,INFO,Completed analysis m: 0 t: 0 e: 61
3394177,INFO,Enabling IridiumMessageSender transmissions
3443769,INFO,Starting analysis m: 0 t: 0 e: 62
3444049,WARN,Disabling IridiumMessageSender transmissions
3445288,INFO,Completed analysis m: 0 t: 0 e: 62
3445315,INFO,Enabling IridiumMessageSender transmissions
3494979,INFO,Starting analysis m: 0 t: 0 e: 63
3495260,WARN,Disabling IridiumMessageSender transmissions
3496511,INFO,Completed analysis m: 0 t: 0 e: 63
3496540,INFO,Enabling IridiumMessageSender transmissions
3546195,INFO,Starting analysis m: 0 t: 0 e: 64
3546476,WARN,Disabling IridiumMessageSender transmissions
3547731,INFO,Completed analysis m: 0 t: 0 e: 64
3547756,INFO,Enabling IridiumMessageSender transmissions
3597404,INFO,Starting analysis m: 0 t: 0 e: 65
3597686,WARN,Disabling IridiumMessageSender transmissions
3598995,INFO,Completed analysis m: 0 t: 0 e: 65
3599020,INFO,Enabling IridiumMessageSender transmissions
3600089,INFO,powerData | solV: 7.01
3600117,INFO,powerData | solI: 0.05
3600140,INFO,powerData | battV: 4.14
3600160,INFO,powerData | battI: -0.01
3600179,INFO,powerData | busV: 4.29
3600197,INFO,powerData | busI: 0.05
3600218,INFO,powerData | BQ status reg: 180
3600238,INFO,powerData | Fault reg: 0
3600257,INFO,powerData | Charge status: 3
3600275,INFO,powerData | DPM status: 0
3644596,WARN,Stat 0 timeout at 1683555499.
3644616,INFO,Processing stats m: 0 t: 0 e: 66
3645440,WARN,Disabling IridiumMessageSender transmissions
3649013,WARN,Sample queue error: 0x8
3649390,WARN,Sample queue error: 0x8
3649802,WARN,Sample queue error: 0x8
3650193,WARN,Sample queue error: 0x8
3650605,WARN,Sample queue error: 0x8
3650996,WARN,Sample queue error: 0x8
3651221,INFO,Finished collection for m: 0 in 3606
3651246,INFO,Submitting 300 byte / 2398 bit message: 
3651336,DEBUG,m 1 sub to Q at i 0 count: 1
3651358,DEBUG,1 msgs in Q
3651399,INFO,Enabling IridiumMessageSender transmissions
3651426,DEBUG,Sending Q index: 0 id: 1
3651536,INFO,Starting collection m: 1 t: 0 at 1683555506.00
3664318,INFO,Send complete: Q index: 0 count_id 1
3753437,INFO,Starting analysis m: 1 t: 0 e: 0
3753717,WARN,Disabling IridiumMessageSender transmissions
3754733,INFO,Completed analysis m: 1 t: 0 e: 0
3754756,INFO,Enabling IridiumMessageSender transmissions
3804651,INFO,Starting analysis m: 1 t: 0 e: 1
3804938,WARN,Disabling IridiumMessageSender transmissions
3806136,INFO,Completed analysis m: 1 t: 0 e: 1
3806160,INFO,Enabling IridiumMessageSender transmissions
3855837,INFO,Starting analysis m: 1 t: 0 e: 2
3856117,WARN,Disabling IridiumMessageSender transmissions
3857324,INFO,Completed analysis m: 1 t: 0 e: 2
3857346,INFO,Enabling IridiumMessageSender transmissions
3900096,INFO,powerData | solV: 6.98
3900119,INFO,powerData | solI: 0.05
3900137,INFO,powerData | battV: 4.14
3900157,INFO,powerData | battI: -0.01
3900182,INFO,powerData | busV: 4.28
3900203,INFO,powerData | busI: 0.06
3900221,INFO,powerData | BQ status reg: 180
3900243,INFO,powerData | Fault reg: 0
3900264,INFO,powerData | Charge status: 3
3900282,INFO,powerData | DPM status: 0
3907047,INFO,Starting analysis m: 1 t: 0 e: 3
3907332,WARN,Disabling IridiumMessageSender transmissions
3908536,INFO,Completed analysis m: 1 t: 0 e: 3
3908560,INFO,Enabling IridiumMessageSender transmissions
3958255,INFO,Starting analysis m: 1 t: 0 e: 4
3958536,WARN,Disabling IridiumMessageSender transmissions
3959756,INFO,Completed analysis m: 1 t: 0 e: 4
3959783,INFO,Enabling IridiumMessageSender transmissions
4009467,INFO,Starting analysis m: 1 t: 0 e: 5
4009754,WARN,Disabling IridiumMessageSender transmissions
4010958,INFO,Completed analysis m: 1 t: 0 e: 5
4010983,INFO,Enabling IridiumMessageSender transmissions
4060676,INFO,Starting analysis m: 1 t: 0 e: 6
4060954,WARN,Disabling IridiumMessageSender transmissions
4062158,INFO,Completed analysis m: 1 t: 0 e: 6
4062183,INFO,Enabling IridiumMessageSender transmissions
4111888,INFO,Starting analysis m: 1 t: 0 e: 7
4112181,WARN,Disabling IridiumMessageSender transmissions
4113381,INFO,Completed analysis m: 1 t: 0 e: 7
4113408,INFO,Enabling IridiumMessageSender transmissions
4163092,INFO,Starting analysis m: 1 t: 0 e: 8
4163373,WARN,Disabling IridiumMessageSender transmissions
4164577,INFO,Completed analysis m: 1 t: 0 e: 8
4164601,INFO,Enabling IridiumMessageSender transmissions
4200105,INFO,powerData | solV: 6.91
4200128,INFO,powerData | solI: 0.04
4200146,INFO,powerData | battV: 4.14
4200167,INFO,powerData | battI: -0.01
4200189,INFO,powerData | busV: 4.27
4200210,INFO,powerData | busI: 0.04
4200232,INFO,powerData | BQ status reg: 180
4200255,INFO,powerData | Fault reg: 0
4200273,INFO,powerData | Charge status: 3
4200294,INFO,powerData | DPM status: 0
4214302,INFO,Starting analysis m: 1 t: 0 e: 9
4214587,WARN,Disabling IridiumMessageSender transmissions
4215791,INFO,Completed analysis m: 1 t: 0 e: 9
4215816,INFO,Enabling IridiumMessageSender transmissions
4265508,INFO,Starting analysis m: 1 t: 0 e: 10
4265793,WARN,Disabling IridiumMessageSender transmissions
4267001,INFO,Completed analysis m: 1 t: 0 e: 10
